column,value,count,pct,is_rare,suggested_group,role,feature_group
customerID,7590-VHVEG,1,0.0142,True,Other,feature,unknown
customerID,5575-GNVDE,1,0.0142,True,Other,feature,unknown
customerID,3668-QPYBK,1,0.0142,True,Other,feature,unknown
customerID,7795-CFOCW,1,0.0142,True,Other,feature,unknown
customerID,9237-HQITU,1,0.0142,True,Other,feature,unknown
customerID,9305-CDSKC,1,0.0142,True,Other,feature,unknown
customerID,1452-KIOVK,1,0.0142,True,Other,feature,unknown
customerID,6713-OKOMC,1,0.0142,True,Other,feature,unknown
customerID,7892-POOKP,1,0.0142,True,Other,feature,unknown
customerID,6388-TABGU,1,0.0142,True,Other,feature,unknown
customerID,9763-GRSKD,1,0.0142,True,Other,feature,unknown
customerID,7469-LKBCI,1,0.0142,True,Other,feature,unknown
customerID,8091-TTVAX,1,0.0142,True,Other,feature,unknown
customerID,0280-XJGEX,1,0.0142,True,Other,feature,unknown
customerID,5129-JLPIS,1,0.0142,True,Other,feature,unknown
customerID,3655-SNQYZ,1,0.0142,True,Other,feature,unknown
customerID,8191-XWSZG,1,0.0142,True,Other,feature,unknown
customerID,9959-WOFKT,1,0.0142,True,Other,feature,unknown
customerID,4190-MFLUW,1,0.0142,True,Other,feature,unknown
customerID,4183-MYFRB,1,0.0142,True,Other,feature,unknown
customerID,8779-QRDMV,1,0.0142,True,Other,feature,unknown
customerID,1680-VDCWW,1,0.0142,True,Other,feature,unknown
customerID,1066-JKSGK,1,0.0142,True,Other,feature,unknown
customerID,3638-WEABW,1,0.0142,True,Other,feature,unknown
customerID,6322-HRPFA,1,0.0142,True,Other,feature,unknown
customerID,6865-JZNKO,1,0.0142,True,Other,feature,unknown
customerID,6467-CHFZW,1,0.0142,True,Other,feature,unknown
customerID,8665-UTDHZ,1,0.0142,True,Other,feature,unknown
customerID,5248-YGIJN,1,0.0142,True,Other,feature,unknown
customerID,8773-HHUOZ,1,0.0142,True,Other,feature,unknown
customerID,3841-NFECX,1,0.0142,True,Other,feature,unknown
customerID,4929-XIHVW,1,0.0142,True,Other,feature,unknown
customerID,6827-IEAUQ,1,0.0142,True,Other,feature,unknown
customerID,7310-EGVHZ,1,0.0142,True,Other,feature,unknown
customerID,3413-BMNZE,1,0.0142,True,Other,feature,unknown
customerID,6234-RAAPL,1,0.0142,True,Other,feature,unknown
customerID,6047-YHPVI,1,0.0142,True,Other,feature,unknown
customerID,6572-ADKRS,1,0.0142,True,Other,feature,unknown
customerID,5380-WJKOV,1,0.0142,True,Other,feature,unknown
customerID,8168-UQWWF,1,0.0142,True,Other,feature,unknown
customerID,8865-TNMNX,1,0.0142,True,Other,feature,unknown
customerID,9489-DEDVP,1,0.0142,True,Other,feature,unknown
customerID,9867-JCZSP,1,0.0142,True,Other,feature,unknown
customerID,4671-VJLCL,1,0.0142,True,Other,feature,unknown
customerID,4080-IIARD,1,0.0142,True,Other,feature,unknown
customerID,3714-NTNFO,1,0.0142,True,Other,feature,unknown
customerID,5948-UJZLF,1,0.0142,True,Other,feature,unknown
customerID,7760-OYPDY,1,0.0142,True,Other,feature,unknown
customerID,7639-LIAYI,1,0.0142,True,Other,feature,unknown
customerID,2954-PIBKO,1,0.0142,True,Other,feature,unknown
customerID,8012-SOUDQ,1,0.0142,True,Other,feature,unknown
customerID,9420-LOJKX,1,0.0142,True,Other,feature,unknown
customerID,6575-SUVOI,1,0.0142,True,Other,feature,unknown
customerID,7495-OOKFY,1,0.0142,True,Other,feature,unknown
customerID,4667-QONEA,1,0.0142,True,Other,feature,unknown
customerID,1658-BYGOY,1,0.0142,True,Other,feature,unknown
customerID,8769-KKTPH,1,0.0142,True,Other,feature,unknown
customerID,5067-XJQFU,1,0.0142,True,Other,feature,unknown
customerID,3957-SQXML,1,0.0142,True,Other,feature,unknown
customerID,5954-BDFSG,1,0.0142,True,Other,feature,unknown
customerID,0434-CSFON,1,0.0142,True,Other,feature,unknown
customerID,1215-FIGMP,1,0.0142,True,Other,feature,unknown
customerID,0526-SXDJP,1,0.0142,True,Other,feature,unknown
customerID,0557-ASKVU,1,0.0142,True,Other,feature,unknown
customerID,5698-BQJOH,1,0.0142,True,Other,feature,unknown
customerID,5122-CYFXA,1,0.0142,True,Other,feature,unknown
customerID,8627-ZYGSZ,1,0.0142,True,Other,feature,unknown
customerID,3410-YOQBQ,1,0.0142,True,Other,feature,unknown
customerID,3170-NMYVV,1,0.0142,True,Other,feature,unknown
customerID,7410-OIEDU,1,0.0142,True,Other,feature,unknown
customerID,2273-QCKXA,1,0.0142,True,Other,feature,unknown
customerID,0731-EBJQB,1,0.0142,True,Other,feature,unknown
customerID,1891-QRQSA,1,0.0142,True,Other,feature,unknown
customerID,8028-PNXHQ,1,0.0142,True,Other,feature,unknown
customerID,5630-AHZIL,1,0.0142,True,Other,feature,unknown
customerID,2673-CXQEU,1,0.0142,True,Other,feature,unknown
customerID,6416-JNVRK,1,0.0142,True,Other,feature,unknown
customerID,5590-ZSKRV,1,0.0142,True,Other,feature,unknown
customerID,0191-ZHSKZ,1,0.0142,True,Other,feature,unknown
customerID,3887-PBQAO,1,0.0142,True,Other,feature,unknown
customerID,5919-TMRGD,1,0.0142,True,Other,feature,unknown
customerID,8108-UXRQN,1,0.0142,True,Other,feature,unknown
customerID,9191-MYQKX,1,0.0142,True,Other,feature,unknown
customerID,9919-YLNNG,1,0.0142,True,Other,feature,unknown
customerID,0318-ZOPWS,1,0.0142,True,Other,feature,unknown
customerID,4445-ZJNMU,1,0.0142,True,Other,feature,unknown
customerID,4808-YNLEU,1,0.0142,True,Other,feature,unknown
customerID,1862-QRWPE,1,0.0142,True,Other,feature,unknown
customerID,2796-NNUFI,1,0.0142,True,Other,feature,unknown
customerID,3016-KSVCP,1,0.0142,True,Other,feature,unknown
customerID,4767-HZZHQ,1,0.0142,True,Other,feature,unknown
customerID,2424-WVHPL,1,0.0142,True,Other,feature,unknown
customerID,7233-PAHHL,1,0.0142,True,Other,feature,unknown
customerID,6067-NGCEU,1,0.0142,True,Other,feature,unknown
customerID,9848-JQJTX,1,0.0142,True,Other,feature,unknown
customerID,8637-XJIVR,1,0.0142,True,Other,feature,unknown
customerID,9803-FTJCG,1,0.0142,True,Other,feature,unknown
customerID,0278-YXOOG,1,0.0142,True,Other,feature,unknown
customerID,3212-KXOCR,1,0.0142,True,Other,feature,unknown
customerID,4598-XLKNJ,1,0.0142,True,Other,feature,unknown
customerID,6380-ARCEH,1,0.0142,True,Other,feature,unknown
customerID,3679-XASPY,1,0.0142,True,Other,feature,unknown
customerID,7123-WQUHX,1,0.0142,True,Other,feature,unknown
customerID,5386-THSLQ,1,0.0142,True,Other,feature,unknown
customerID,3192-NQECA,1,0.0142,True,Other,feature,unknown
