column,null_pct_pre,null_pct_post,delta_null_pct,is_critical,null_status,notes
Churn,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
Churn_flag,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
Contract,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
Dependents,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
DeviceProtection,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
InternetService,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
MonthlyCharges,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
MultipleLines,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
OnlineBackup,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
OnlineSecurity,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
PaperlessBilling,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
Partner,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
PaymentMethod,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
PhoneService,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
SeniorCitizen,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
SeniorCitizen_flag_text,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
Senior_flag,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
StreamingMovies,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
StreamingTV,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
TechSupport,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
TotalCharges,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
_logic_repair_applied,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
customerID,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
expected_min_total_from_contract,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
expected_total_for_zero_tenure,,1.0,,False,OK,no pre-clean null reference; cannot compute delta
expected_total_from_payment_profile,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
expected_total_from_tenure_monthly,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
expected_total_senior,,0.8378531875621185,,False,OK,no pre-clean null reference; cannot compute delta
gender,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
tenure,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
tenure_months_bucket,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
total_charges_per_month,,0.0,,False,OK,no pre-clean null reference; cannot compute delta
