feature,mean,median,std,min,max,iqr,skewness,kurtosis,zero_fraction,skew_label,kurtosis_label,zero_inflated_flag
SeniorCitizen,0.1621468124378816,0.0,0.3686116056100131,0.0,1.0,0.0,1.8336327440928564,1.3625958957939108,0.8378531875621185,High positive skew,Near-normal / moderate tail,True
tenure,32.37271049268777,29.0,24.557453789657618,1.0,72.0,46.0,0.2397297557395582,-1.3874564917500511,0.0,Approximately symmetric,Light-tailed,False
MonthlyCharges,64.74968891097544,70.35,30.062809853715972,19.2,114.729,54.349999999999994,-0.2235045508677852,-1.2615171301599213,0.0,Approximately symmetric,Light-tailed,False
TotalCharges,2279.361600312367,1397.475,2258.5403375860556,19.9,8039.255999999999,3384.375,0.9522795376417048,-0.27162871566893365,0.0,Approximately symmetric,Light-tailed,False
Churn_flag,0.2653698707936959,0.0,0.441561305121947,0.0,1.0,1.0,1.063031444575135,-0.8702113423319808,0.7346301292063041,High positive skew,Light-tailed,True
expected_total_from_tenure_monthly,2277.453315348573,1393.6000000000001,2259.049881673983,19.75,8038.8,3392.1000000000004,0.9511394025117416,-0.2735453095065514,0.0,Approximately symmetric,Light-tailed,False
expected_total_for_zero_tenure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Approximately symmetric,Light-tailed,True
expected_min_total_from_contract,28.15076089734488,0.0,38.416468288319045,0.0,114.62899999999999,59.8,1.0169221436607936,-0.5439771332665719,0.5517535141275025,High positive skew,Light-tailed,True
expected_total_senior,2809.477210157618,2245.35,2354.91929325434,37.249500000000005,8114.039999999997,3945.425,0.5928046828078858,-0.8493843218468768,0.0,Approximately symmetric,Light-tailed,False
expected_total_from_payment_profile,2277.453315348573,1393.6000000000001,2259.049881673983,19.75,8038.8,3392.1000000000004,0.9511394025117416,-0.2735453095065514,0.0,Approximately symmetric,Light-tailed,False
total_charges_per_month,66.84941070400262,70.45,60.62904013334371,13.775,1397.475,54.030826286116984,16.4654122995655,359.82688277956873,0.0,High positive skew,Heavy-tailed,False
