artifact_name,section,stage,path,exists,size_bytes,last_modified
numeric_validation_report.csv,2.3.1,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/numeric_validation_report.csv,True,459.0,2025-12-15T19:26:35.058101
range_violation_report.csv,2.3.2,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/range_violation_report.csv,True,452.0,2025-12-15T19:26:35.252450
outlier_report_iqr_z.csv,2.3.3,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/outlier_report_iqr_z.csv,True,714.0,2025-12-15T19:26:35.354537
numeric_metrics_enhanced.csv,2.3.4,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/numeric_metrics_enhanced.csv,True,759.0,2025-12-15T19:26:35.486644
numeric_integrity_report.csv,2.3.5,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/numeric_integrity_report.csv,True,2399.0,2025-12-15T19:26:35.620448
numeric_profile_df.csv,2.3.6,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/numeric_profile_df.csv,True,2661.0,2025-12-15T19:26:35.724274
time_series_outliers.csv,2.3.7.1,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/time_series_outliers.csv,False,,
global_temporal_anomalies.csv,2.3.7.2,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/global_temporal_anomalies.csv,False,,
correlation_anomalies.csv,2.3.7.3,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/correlation_anomalies.csv,False,,
rule_confidence_scores.csv,2.3.7.4,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/rule_confidence_scores.csv,True,415.0,2025-12-15T19:26:36.287892
model_readiness_report.csv,2.3.8,readiness,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/model_readiness_report.csv,True,532.0,2025-12-15T19:26:36.688980
dashboard_alerts.json,2.3.9,readiness,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/dashboard_alerts.json,True,1309.0,2025-12-15T19:26:36.801242
numeric_audit_metadata.json,2.3.10,governance,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/numeric_audit_metadata.json,True,1534.0,2025-12-15T19:26:36.883070
forecast_sensitivity.csv,2.3.11,readiness,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/forecast_sensitivity.csv,True,2377.0,2025-12-15T19:26:36.970971
numeric_bias_risk_report.csv,2.3.12,explainability,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/numeric_bias_risk_report.csv,True,793.0,2025-12-15T19:26:37.124052
anomaly_explainability_index.parquet,2.3.13,explainability,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/anomaly_explainability_index.parquet,True,6236.0,2025-12-15T19:26:37.524194
data_drift_metrics.csv,2.3.14,drift,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/data_drift_metrics.csv,True,357.0,2025-12-15T19:26:37.664091
dashboard_updates.json,2.3.14,drift,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/dashboard_updates.json,True,2742.0,2025-12-15T19:26:37.719373
performance_profile.csv,2.3.15,performance,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/performance_profile.csv,True,8015.0,2025-12-12T14:01:39.005112
data_contract_violations.json,2.3.16,contracts,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/data_contract_violations.json,True,1806.0,2025-12-15T19:26:38.104040
data_contract_violations.csv,2.3.16,contracts,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/data_contract_violations.csv,True,479.0,2025-12-15T19:26:38.105379
run_health_summary.csv,2.3.17,summary,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric_integrity/run_health_summary.csv,True,950.0,2025-12-15T19:26:38.410359
