apply_coercion,check,dataset_version_id,delta_threshold,detail,dtype_after_enforce,encoded_target,full_row_dupes,git_hash,has_full_dupes,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,n_actual,n_anomalous_buckets,n_applied,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_constant_cols,n_continuous,n_critical,n_datetime,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features_checked,n_flags,n_hard_rules,n_high_card_cols,n_high_cv,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_invalid_raw,n_invalid_target_vals,n_mismatched,n_missing,n_neg,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_pos,n_preview_cols,n_preview_rows,n_protected,n_protected_columns,n_renamed_pairs,n_required,n_rows,n_rules,n_soft_rules,n_target,n_time_outliers,n_unassigned,n_unexpected,n_valid_ok,n_warn,n_zero_inflated,overall_null_pct,pct_invalid_raw,raw_target_col,raw_target_column,section,section_name,status,target_column,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,window_size
,Environment & config readiness preflight,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,OK,,,,2025-11-28 20:23:36.571369,,,,
,Config & constants validation for Section 2,,,All required config roots present and Section 2 constants registered.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0.2,Config & constants validation,OK,,,,2025-11-28 20:23:36.828895,,,,
,Section 2 run metadata snapshot,1.0,,Metadata saved to section2_run_metadata.json,,,,46dbdb9fed4e68ae64ccddce5815a1d04529aa11,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,,,,2025-11-28 20:23:37.132128,,,,
,Dataset-level shape & memory snapshot,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,OK,,,,2025-11-28 20:23:37.277466,,,6.5061,
,"Overall missingness, dtype distribution, top-N missing columns",,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,info,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,0.0074,,,,2.0.5,Row/Column baseline summary (lightweight),OK,,,,2025-11-28 20:23:37.329670,TotalCharges,0.1562,,
,Config-driven IDs and protected columns snapshot,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,info,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,OK,,,,2025-11-28 20:23:37.495453,,,,
,Dependency registry build,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,,,,2025-11-28 20:23:38.468417,,,,
,Sanity preview printout,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,,,,2025-11-28 20:23:38.682383,,,,
,Create Churn_flag and validate raw target labels,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,Churn_flag,,,,0.3612,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,5174.0,,,,0.0,,,,,,,,1869.0,,,,,,,7043.0,,,,,,,,,,,0.0,Churn,,2.1.1,Target variable creation & validation,OK,,,,2025-11-28 20:23:38.834263,,,,
,ID & key field verification,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,OK,,,,2025-11-28 20:23:38.917757,,,,
