_rule,SeniorCitizen
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
outliers_IQR>1.5×,1
