feature_1,feature_2,pearson_r,spearman_rho,kendall_tau,collinear_flag
SeniorCitizen,tenure,0.016540264964064848,0.018466282954341315,0.015243519745426197,False
SeniorCitizen,MonthlyCharges,0.22031789536606952,0.2210651491807002,0.18065418299084948,False
SeniorCitizen,TotalCharges,0.10331944587507015,0.1081731013559591,0.0883395872092703,False
SeniorCitizen,Churn_flag,0.15088932817647233,0.1508893281764731,0.15088932817647308,False
SeniorCitizen,expected_total_from_tenure_monthly,0.10342271736263818,0.1086231873945382,0.08870832833322329,False
SeniorCitizen,expected_total_for_zero_tenure,,,,False
SeniorCitizen,expected_min_total_from_contract,-0.04677988246161133,-0.09231449711342118,-0.08246958066585268,False
SeniorCitizen,expected_total_senior,,,,False
SeniorCitizen,expected_total_from_payment_profile,0.10342271736263818,0.1086231873945382,0.08870832833322329,False
SeniorCitizen,total_charges_per_month,0.21866368964350913,0.21841154795442833,0.17836285398054852,False
tenure,MonthlyCharges,0.2474036864468571,0.27634951467339053,0.19055138228553958,False
tenure,TotalCharges,0.8268158263084401,0.8896687747763236,0.7347493589876212,False
tenure,Churn_flag,-0.35229597414110936,-0.36739923486008863,-0.3032801731074744,False
tenure,expected_total_from_tenure_monthly,0.8270930602398978,0.8900105107673252,0.7359904582848333,False
tenure,expected_total_for_zero_tenure,,,,False
tenure,expected_min_total_from_contract,0.6503522143762905,0.6768192473905307,0.515765490171429,False
tenure,expected_total_senior,0.901739060459639,0.927475954229548,0.8105480944501245,True
tenure,expected_total_from_payment_profile,0.8270930602398978,0.8900105107673252,0.7359904582848333,False
tenure,total_charges_per_month,0.2469346714074775,0.2745646944913991,0.18887224766154026,False
MonthlyCharges,TotalCharges,0.6506044595624157,0.638035797591008,0.45981139280660005,False
MonthlyCharges,Churn_flag,0.19364616123838244,0.1847388720397297,0.15096839152927008,False
MonthlyCharges,expected_total_from_tenure_monthly,0.6509807454198602,0.6383285929751644,0.4606984239444568,False
MonthlyCharges,expected_total_for_zero_tenure,,,,False
MonthlyCharges,expected_min_total_from_contract,0.385768875458011,0.20808921456944113,0.21493798543278936,False
MonthlyCharges,expected_total_senior,0.5809617160669885,0.628262900150954,0.4496577610517899,False
MonthlyCharges,expected_total_from_payment_profile,0.6509807454198602,0.6383285929751644,0.4606984239444568,False
MonthlyCharges,total_charges_per_month,0.9953676920597838,0.9908537018273285,0.9253090828743527,True
TotalCharges,Churn_flag,-0.19835921553780325,-0.22997440990490323,-0.18780865284468898,False
TotalCharges,expected_total_from_tenure_monthly,0.9995762434248234,0.9996103720110949,0.9832628462200499,True
TotalCharges,expected_total_for_zero_tenure,,,,False
TotalCharges,expected_min_total_from_contract,0.7366983519672962,0.6055012361939043,0.4919912073338261,False
TotalCharges,expected_total_senior,0.9995157980126987,0.9996151982804534,0.9837947058511582,True
TotalCharges,expected_total_from_payment_profile,0.9995762434248234,0.9996103720110949,0.9832628462200499,True
TotalCharges,total_charges_per_month,0.6498313252223346,0.6379176835682341,0.4602800739373317,False
Churn_flag,expected_total_from_tenure_monthly,-0.19852453408500506,-0.22990308310841673,-0.1877528976122387,False
Churn_flag,expected_total_for_zero_tenure,,,,False
Churn_flag,expected_min_total_from_contract,-0.28747575732285163,-0.35802065039895836,-0.3198393950176793,False
Churn_flag,expected_total_senior,-0.34287546375400696,-0.35759581015293757,-0.29213819033727767,False
Churn_flag,expected_total_from_payment_profile,-0.19852453408500506,-0.22990308310841673,-0.1877528976122387,False
Churn_flag,total_charges_per_month,0.19403947729176613,0.18593722464191698,0.1518431344814901,False
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,,,,False
expected_total_from_tenure_monthly,expected_min_total_from_contract,0.7367976122604283,0.6053923677741696,0.4921359579128676,False
expected_total_from_tenure_monthly,expected_total_senior,0.9999945897853122,0.9999988760201978,0.999920935906306,True
expected_total_from_tenure_monthly,expected_total_from_payment_profile,1.0,1.0,1.0,True
expected_total_from_tenure_monthly,total_charges_per_month,0.6485388232130165,0.6353099779868897,0.45736190402406307,False
expected_total_for_zero_tenure,expected_min_total_from_contract,,,,False
expected_total_for_zero_tenure,expected_total_senior,,,,False
expected_total_for_zero_tenure,expected_total_from_payment_profile,,,,False
expected_total_for_zero_tenure,total_charges_per_month,,,,False
expected_min_total_from_contract,expected_total_senior,0.6792964544131889,0.5847210061000752,0.4758664049121241,False
expected_min_total_from_contract,expected_total_from_payment_profile,0.7367976122604283,0.6053923677741696,0.49213595791286757,False
expected_min_total_from_contract,total_charges_per_month,0.3847120691848862,0.2057383803039129,0.1978167808352401,False
expected_total_senior,expected_total_from_payment_profile,0.9999945897853122,0.9999988760201978,0.999920935906306,True
expected_total_senior,total_charges_per_month,0.5785615982515052,0.6187671206399445,0.44088217041410926,False
expected_total_from_payment_profile,total_charges_per_month,0.6485388232130165,0.6353099779868897,0.45736190402406307,False
